,City_ID,city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
76,3466704,Castro,0,BR,1603843728,63,-24.79,-50.01,60.71,3.83
77,2206939,Bluff,14,NZ,1603843903,67,-46.6,168.33,57.99,3.0
78,6089245,Norman Wells,40,CA,1603844010,79,65.28,-126.83,19.4,4.7
79,5282297,Bethel,90,US,1603843875,57,41.37,-73.41,51.8,3.36
80,2155415,New Norfolk,79,AU,1603844010,66,-42.78,147.06,57.99,3.96
81,2126710,Beringovskiy,71,RU,1603843844,92,63.05,179.32,27.45,11.79
82,3374083,Bathsheba,20,BB,1603844011,83,13.22,-59.52,80.6,14.99
83,3386213,Touros,40,BR,1603844011,83,-5.2,-35.46,78.8,9.17
84,1061335,Mananjary,20,MG,1603843746,93,-21.22,48.33,68.85,4.43
85,3443061,Chui,100,UY,1603844011,94,-33.7,-53.46,61.39,14.14
86,4035715,Avarua,100,CK,1603843840,78,-21.21,-159.78,73.4,6.93
87,3420768,Qasigiannguit,67,GL,1603844012,92,68.82,-51.19,5.76,2.3
88,3691954,Sechura,38,PE,1603844012,73,-5.56,-80.82,68.36,14.54
89,1507636,Chunskiy,96,RU,1603844012,96,56.08,99.63,31.82,4.38
90,240999,Alindao,97,CF,1603844013,93,5.03,21.21,71.51,1.9
91,107304,Buraidah,0,SA,1603844013,28,26.33,43.98,64.4,3.36
92,3894426,Coyhaique,90,CL,1603844013,93,-45.58,-72.07,41.0,8.05
93,5746545,Portland,20,US,1603843937,51,45.52,-122.68,59.0,1.63
94,2189343,Kaeo,83,NZ,1603843739,71,-35.1,173.78,68.02,5.23
95,5122534,Jamestown,90,US,1603843902,100,42.1,-79.24,41.0,3.49
96,5106841,Albany,100,US,1603843908,74,42.6,-73.97,48.0,3.87
97,4703078,Kerrville,90,US,1603844014,93,30.05,-99.14,36.0,8.05
98,2685750,Östersund,86,SE,1603844014,93,63.18,14.64,42.01,8.05
99,3674292,Mosquera,75,CO,1603843787,87,4.71,-74.23,57.2,3.36
100,2126785,Belaya Gora,92,RU,1603844015,93,68.53,146.42,6.71,5.48
101,2290836,Boundiali,90,CI,1603844015,58,9.52,-6.49,73.85,1.21
102,780687,Berlevåg,100,NO,1603843849,91,70.86,29.09,38.5,6.04
103,2025630,Chara,7,RU,1603844015,83,56.91,118.26,-0.2,0.51
104,4032243,Vaini,11,TO,1603843813,74,-21.2,-175.2,73.18,25.93
105,1651810,Airai,39,TL,1603844016,79,-8.93,125.41,70.07,2.73
106,2012956,Yerbogachën,81,RU,1603844016,97,61.28,108.01,17.17,4.83
107,2126199,Cherskiy,100,RU,1603843818,92,68.75,161.3,13.98,8.88
108,4031637,Lavrentiya,100,RU,1603843903,91,65.58,-171.0,30.54,9.86
109,259289,Corinth,49,GR,1603844017,60,37.94,22.96,59.0,1.01
110,5563839,Fortuna,1,US,1603843760,48,40.6,-124.16,63.0,10.29
111,935215,Saint-Philippe,0,RE,1603844017,64,-21.36,55.77,71.6,2.24
112,1015776,Bredasdorp,100,ZA,1603843746,82,-34.53,20.04,62.6,4.7
113,5970234,Hanna,91,CA,1603844018,57,51.63,-111.9,46.99,3.0
114,3355672,Lüderitz,13,NA,1603844018,78,-26.65,15.16,57.25,9.98
115,2119538,Yelizovo,93,RU,1603844018,75,53.19,158.38,42.8,4.47
116,2630299,Hofn,100,IS,1603844018,81,64.25,-15.21,38.03,20.98
117,3451138,Rio Grande,100,BR,1603843987,99,-32.03,-52.1,63.0,11.01
118,496358,Severnyy,0,RU,1603844019,80,50.68,36.55,39.2,8.95
119,2026160,Borogontsy,100,RU,1603844019,93,62.67,131.17,3.99,3.33
120,4031574,Provideniya,90,RU,1603843928,95,64.38,-173.3,32.0,11.18
121,3893629,Coquimbo,0,CL,1603843912,82,-29.95,-71.34,55.4,11.41
122,2374583,Bubaque,44,GW,1603844020,81,11.28,-15.83,82.33,11.05
123,4036284,Alofi,40,NU,1603844020,73,-19.06,-169.92,77.0,21.92
124,2132606,Samarai,26,PG,1603844020,79,-10.62,150.67,82.8,9.44
125,949224,Thohoyandou,0,ZA,1603844021,47,-22.95,30.48,69.22,1.88
126,3424607,Tasiilaq,100,GL,1603843743,91,65.61,-37.64,25.68,9.44
127,293992,Ofakim,56,IL,1603844021,100,31.31,34.62,70.0,4.34
128,6111867,Port Hawkesbury,90,CA,1603844021,86,45.62,-61.35,39.99,14.99
129,974933,Mogwase,0,ZA,1603844021,37,-25.18,27.27,73.2,4.29
130,5847411,Kahului,40,US,1603844022,62,20.89,-156.47,86.0,9.17
131,2033301,Youhao,0,CN,1603844022,82,47.87,128.83,34.12,5.84
132,3379507,Bartica,75,GY,1603843904,83,6.4,-58.62,80.6,6.93
133,2455290,Kidal,0,ML,1603844022,16,18.44,1.41,78.24,7.0
134,3471451,Arraial do Cabo,0,BR,1603843734,94,-22.97,-42.03,73.4,12.75
135,1153035,Kathu,40,TH,1603844023,83,7.92,98.33,86.0,5.82
136,933995,Souillac,4,MU,1603844023,80,-20.52,57.52,70.0,1.99
137,2155562,Nelson Bay,90,AU,1603843975,72,-32.72,152.15,66.99,8.05
138,2439376,Tahoua,0,NE,1603844023,29,14.89,5.27,77.0,2.24
139,1513491,Yangi Marg`ilon,98,UZ,1603844023,41,40.43,71.72,51.8,4.74
140,2065594,Mount Isa,0,AU,1603844024,11,-20.73,139.5,80.6,13.87
141,2136697,Lakatoro,75,VU,1603844024,69,-16.1,167.42,82.4,6.93
142,986717,Kruisfontein,29,ZA,1603843907,95,-34.0,24.73,59.0,8.57
143,4033356,Tiarei,75,PF,1603844024,78,-17.53,-149.33,82.4,19.46
144,2255564,Ouésso,98,CG,1603844025,96,1.61,16.05,70.03,2.21
145,3902377,La Santisima Trinidad,40,BO,1603844025,69,-14.83,-64.9,82.4,6.93
146,2636790,Stornoway,100,GB,1603844025,93,58.21,-6.39,42.8,2.24
147,3924610,Achacachi,14,BO,1603844025,68,-16.05,-68.68,49.44,1.34
148,3855075,General Pico,75,AR,1603844025,53,-35.66,-63.76,63.61,9.15
149,1819729,Hong Kong,96,HK,1603843984,73,22.29,114.16,77.0,1.01
150,3622716,Nicoya,75,CR,1603844026,88,10.15,-85.45,80.6,6.93
151,3664539,Coari,99,BR,1603844026,84,-4.08,-63.14,78.4,2.35
152,2640377,Penzance,61,GB,1603844026,81,50.12,-5.54,50.0,21.92
153,4231997,Avera,90,US,1603843869,83,33.19,-82.53,75.2,5.82
154,5288261,Camp Verde,0,US,1603844027,12,34.56,-111.85,60.01,8.39
155,2447513,Arlit,0,NE,1603844027,15,18.74,7.39,79.0,7.78
156,3466165,Cidreira,98,BR,1603843854,84,-30.18,-50.21,63.88,11.68
157,2070998,Geraldton,90,AU,1603843857,60,-28.77,114.6,68.0,17.22
158,3374333,Praia,96,CV,1603843829,83,14.92,-23.51,78.8,14.99
159,3883457,Lebu,98,CL,1603844028,82,-37.62,-73.65,50.72,12.3
160,1821993,Svay Rieng,100,KH,1603844028,86,11.09,105.8,77.23,10.0
161,4513583,Hamilton,90,US,1603843816,87,39.18,-84.53,51.01,3.83
162,5955902,Fort Nelson,75,CA,1603843807,74,58.81,-122.7,33.8,2.24
163,3576994,Cockburn Town,7,TC,1603843740,80,21.46,-71.14,82.29,20.65
164,2156643,Mount Gambier,18,AU,1603844029,67,-37.83,140.77,59.0,8.05
165,361058,Alexandria,40,EG,1603844029,60,31.22,29.96,73.4,4.7
166,6182001,Wilkie,90,CA,1603844029,66,52.42,-108.7,48.2,12.75
167,2208248,Kaitangata,2,NZ,1603843922,56,-46.28,169.85,54.97,6.67
168,139817,Bushehr,0,IR,1603844030,55,28.97,50.84,74.93,2.68
169,3383434,Nieuw Amsterdam,20,SR,1603844030,74,5.88,-55.08,84.2,9.17
170,2635199,Ullapool,100,GB,1603844030,61,57.9,-5.16,44.01,1.01
171,1168749,Nushki,0,PK,1603844031,50,29.55,66.02,48.79,1.16
172,1282256,Hithadhoo,99,MV,1603844031,66,-0.6,73.08,83.84,10.85
173,1261853,Narasannapeta,60,IN,1603844031,68,18.42,84.05,72.72,4.85
174,1268008,Kanniyākumāri,71,IN,1603843891,76,8.08,77.57,80.35,6.49
175,1218436,Saýat,38,TM,1603844032,61,38.78,63.88,41.86,11.34
176,1164076,Thal,1,PK,1603844032,55,35.48,72.24,42.84,4.85
177,3355595,Mariental,81,NA,1603844033,20,-24.63,17.97,73.87,2.51
178,2469252,Menzel Salem,0,TN,1603844033,87,35.86,8.48,42.8,2.24
179,3131500,Visnes,29,NO,1603844033,87,59.36,5.22,50.0,12.75
180,3388456,São José da Coroa Grande,57,BR,1603843838,79,-8.9,-35.15,76.89,10.67
181,2825297,Stuttgart,0,DE,1603844004,81,48.78,9.18,50.0,2.24
182,1185095,Teknāf,33,BD,1603844034,88,20.86,92.31,76.82,4.41
183,3899695,Ancud,90,CL,1603843914,93,-41.87,-73.82,48.0,14.99
184,2100765,Angoram,100,PG,1603844034,64,-4.06,144.07,88.12,1.92
185,6167817,Torbay,90,CA,1603843735,100,47.67,-52.73,39.99,12.75
186,1568574,Qui Nhon,100,VN,1603844035,84,13.77,109.23,75.47,53.37
187,5855051,‘Ewa Beach,1,US,1603843872,69,21.32,-158.01,82.4,4.43
188,3372760,Praia da Vitória,75,PT,1603844035,72,38.73,-27.07,62.6,5.99
189,1642773,Japura,100,ID,1603844036,93,-0.32,102.35,75.25,1.61
190,2109528,Buala,35,SB,1603844036,69,-8.14,159.59,85.98,6.08
191,3421719,Narsaq,100,GL,1603844036,97,60.92,-46.05,30.15,3.78
192,2215163,Masallātah,14,LY,1603844036,67,32.62,14.0,63.82,14.23
193,3668605,Santa Marta,20,CO,1603844037,74,11.24,-74.2,86.0,11.99
194,3421193,Paamiut,78,GL,1603844037,85,61.99,-49.67,27.57,18.45
195,296852,Erzin,30,TR,1603844037,67,36.96,36.2,75.99,4.0
196,156918,Kisiwani,85,TZ,1603844037,82,-4.13,37.95,69.67,3.18
197,3166262,Spilimbergo,20,IT,1603844037,92,46.11,12.9,50.0,6.2
198,3831208,Qaanaaq,94,GL,1603844038,79,77.48,-69.36,10.85,13.49
199,8060713,Rembang,85,ID,1603844038,80,-6.71,111.35,79.97,6.26
200,3379316,Lethem,54,GY,1603844038,58,3.38,-59.8,84.43,8.63
201,1797132,Rizhao,95,CN,1603844038,50,35.43,119.46,57.11,12.35
202,2137773,Vao,88,NC,1603844039,82,-22.67,167.48,73.2,18.86
203,2092164,Lorengau,94,PG,1603844039,63,-2.02,147.27,85.87,1.66
204,3430863,Mar del Plata,0,AR,1603843792,71,-38.0,-57.56,59.0,8.5
205,4663494,Tullahoma,90,US,1603844039,83,35.36,-86.21,71.6,5.82
206,249842,Buşayrā,39,JO,1603844039,68,30.74,35.61,56.57,0.36
207,4726521,San Patricio,90,US,1603844040,82,28.02,-97.52,55.4,13.87
208,3336897,La Rioja,0,ES,1603844040,93,42.25,-2.5,51.01,1.12
209,915471,Kalabo,52,ZM,1603844040,36,-14.97,22.68,75.67,2.84
210,3093028,Lubawa,81,PL,1603844040,90,53.5,19.75,46.99,1.99
211,3984997,San Quintín,0,MX,1603844041,32,30.48,-115.95,68.85,12.01
212,1486321,Yar-Sale,50,RU,1603843923,92,66.83,70.83,2.12,5.48
213,217570,Buta,100,CD,1603844041,97,2.79,24.73,70.11,1.14
214,5861897,Fairbanks,75,US,1603843832,86,64.84,-147.72,28.99,4.7
215,2112802,Hasaki,75,JP,1603843903,87,35.73,140.83,61.0,4.7
216,1003764,Frankfort,59,ZA,1603844042,46,-27.27,28.48,65.43,3.53
217,6165406,Thompson,75,CA,1603844042,62,55.74,-97.86,24.8,8.05
218,3839307,Rawson,71,AR,1603844042,33,-43.3,-65.1,59.52,12.48
219,261772,Íos,0,GR,1603844043,77,36.73,25.28,63.0,8.05
220,2449938,Ténenkou,97,ML,1603844043,15,14.46,-4.92,81.9,9.42
221,2122090,Pevek,100,RU,1603844043,97,69.7,170.31,20.44,13.73
222,3869716,Tocopilla,11,CL,1603844043,59,-22.09,-70.2,60.13,6.11
223,300796,Miepherkeim,0,TR,1603844043,41,38.14,41.01,46.4,2.24
224,2264923,Peniche,97,PT,1603844044,88,39.36,-9.38,62.01,8.99
225,6111862,Port Hardy,90,CA,1603843832,93,50.7,-127.42,48.2,5.82
226,305681,Kumluca,0,TR,1603844044,45,36.37,30.29,71.38,3.96
227,368246,Raja,94,SS,1603844044,87,8.46,25.68,72.01,6.71
228,1735902,Sibu,40,MY,1603844045,94,2.3,111.82,75.2,2.24
229,2512186,Puerto del Rosario,90,ES,1603843843,73,28.5,-13.86,69.8,12.75
230,3516148,Tecolutla,94,MX,1603844045,76,20.48,-97.02,79.09,9.01
231,2129218,Yoichi,40,JP,1603843991,93,43.2,140.77,42.8,4.7
232,567589,Chupa,100,RU,1603844046,89,66.27,33.05,43.27,7.27
233,2180815,Tuatapere,35,NZ,1603843815,67,-46.13,167.68,57.99,3.0
234,3194581,Našice,5,HR,1603844046,96,45.49,18.09,53.01,1.01
235,686967,Zhytomyr,1,UA,1603843858,90,50.26,28.68,48.79,5.88
236,1252783,Yārāda,99,IN,1603844047,60,17.65,83.27,80.51,8.12
237,2094342,Kavieng,95,PG,1603844047,65,-2.57,150.8,84.85,2.13
238,5924351,Clyde River,20,CA,1603843917,66,70.47,-68.59,12.2,6.93
239,2206874,Waipawa,99,NZ,1603844047,72,-41.41,175.52,60.01,12.75
240,1650527,Balikpapan,100,ID,1603844048,82,-1.27,116.83,79.75,3.89
241,1859964,Kaseda-shirakame,75,JP,1603844048,100,31.42,130.32,59.0,3.36
242,1490256,Talnakh,0,RU,1603844048,82,69.49,88.4,-4.52,5.48
243,3450843,Rubiataba,64,BR,1603843976,80,-15.16,-49.8,74.46,1.99
244,5557293,Sitka,90,US,1603844049,81,57.05,-135.33,46.4,6.93
245,3347019,Mossamedes,70,AO,1603843803,77,-15.2,12.15,71.26,4.34
246,1128239,Rūdbār,0,AF,1603844049,34,30.15,62.6,56.46,10.31
